organisation,launch_location,mission_details,mission_status,date
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-24,Success,22/10/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 7-5,Success,21/10/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-23,Success,18/10/2023
CASC,China,Long March 2D | Yunhai-1 04,Success,15/10/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-22,Success,13/10/2023
SpaceX,USA,Falcon Heavy | Psyche,Success,13/10/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 7-4,Success,09/10/2023
Arianespace,France,"Vega | THEOS-2, TRITON & SSMS n°5",Success,09/10/2023
ULA,USA,Atlas V 501 | Project Kuiper Protoflight,Success,06/10/2023
Virgin Galactic,USA,SpaceShipTwo | Galactic-04,Success,06/10/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-21,Success,05/10/2023
CASC,China,Long March 2D | Yaogan 39 Group 03,Success,05/10/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-19,Success,30/09/2023
IRGC,Iran,Qased | Nour 3,Success,27/09/2023
CASC,China,Long March 4C | Yaogan 33-04,Success,26/09/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 7-3,Success,25/09/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-18,Success,24/09/2023
Galactic Energy,China,Ceres-1 | Autumn Sonata,Failure,21/09/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-17,Success,20/09/2023
Rocket Lab,New Zealand,Electron/Curie | We Will Never Desert You,Failure,19/09/2023
CASC,China,Long March 2D | Yaogan 39 Group 02,Success,17/09/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-16,Success,16/09/2023
Roscosmos,Kazakhstan,Soyuz 2.1a | Soyuz MS-24,Success,15/09/2023
Firefly,USA,Alpha | VICTUS NOX (TacRS-3),Success,15/09/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 7-2,Success,12/09/2023
ULA,USA,Atlas V 551 | SILENTBARKER (NROL-107),Success,10/09/2023
CASC,China,Long March 6A | Yaogan 40,Success,10/09/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-14,Success,09/09/2023
Virgin Galactic,USA,SpaceShipTwo | Galactic-03,Success,08/09/2023
MHI,Japan,H-IIA 202 | SLIM & XRISM,Success,06/09/2023
CASC,China,Long March 4C | Yaogan 33-03,Success,06/09/2023
Galactic Energy,China,Ceres-1S | The Little Mermaid,Success,05/09/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-12,Success,04/09/2023
SpaceX,USA,"Falcon 9 Block 5 | Transport & Tracking Layer (Tranche 0, Flight 2)",Success,02/09/2023
ISRO,India,PSLV-XL | Aditya L1,Success,02/09/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-13,Success,01/09/2023
CASC,China,Long March 2D | Yaogan 39 Group 01,Success,31/08/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-11,Success,27/08/2023
SpaceX,USA,Falcon 9 Block 5 | SpaceX Crew-7,Success,26/08/2023
Galactic Energy,China,Ceres-1 | Cornfield Chase,Success,25/08/2023
Rocket Lab,New Zealand,Electron/Curie | We Love the Nightlife,Success,23/08/2023
NADA,North Korea,Chŏllima 1 | Manligyeong 1 #2,Failure,23/08/2023
Roscosmos,Kazakhstan,Soyuz 2.1a | Progress MS-24,Success,23/08/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 7-1,Success,22/08/2023
CASC,China,Long March 4C | Gaofen-12 04,Success,20/08/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-10,Success,17/08/2023
ExPace,China,Kuaizhou 1A | HEAD-3A/B/C/D/E,Success,14/08/2023
CASC,China,Long March 3B/E | L-SAR4-01 (LTDC-4A),Success,12/08/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-9,Success,11/08/2023
Roscosmos,Russia,Soyuz 2.1b/Fregat-M | Luna 25,Success,10/08/2023
Virgin Galactic,USA,SpaceShipTwo | Galactic 02,Success,10/08/2023
Galactic Energy,China,Ceres-1 | Lucky 7,Success,10/08/2023
CASC,China,Long March 2C | 5 m S-SAR-02 (Huanjing-2F),Success,08/08/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-20,Success,08/08/2023
VKS RF,Russia,Soyuz 2.1b/Fregat-M | Cosmos 2569,Success,07/08/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-8,Success,07/08/2023
SpaceX,USA,Falcon 9 Block 5 | Galaxy 37,Success,03/08/2023
CASC,China,Long March 4C | Fengyun-3F,Success,03/08/2023
Northrop,USA,Antares 230+ | CRS NG-19,Success,02/08/2023
ISRO,India,PSLV-CA | DS-SAR,Success,30/07/2023
SpaceX,USA,Falcon Heavy | EchoStar 24 (Jupiter 3),Success,29/07/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-7,Success,28/07/2023
CASC,China,Long March 2D | Yaogan 36 Group 05,Success,26/07/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-6,Success,24/07/2023
CASC,China,Long March 2D | Skysight AS-01 to 03 & Lingxi-03,Success,23/07/2023
Galactic Energy,China,Ceres-1 | Lemon Tree,Success,22/07/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-15,Success,20/07/2023
ExPace,China,Kuaizhou 1A | Tianmu-1 07-10,Success,20/07/2023
Rocket Lab,New Zealand,Electron/Curie | Baby Come Back,Success,18/07/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-15,Success,16/07/2023
ISRO,India,LVM-3 | Chandrayaan-3,Success,14/07/2023
Landspace,China,ZhuQue-2 | Flight 2,Success,12/07/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-5,Success,10/07/2023
CASC,China,Long March 2C/YZ-1S | 2 x SatNet test satellites,Success,09/07/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-13,Success,07/07/2023
Arianespace,France,Ariane 5 ECA | Syracuse 4B & Heinrich Hertz,Success,05/07/2023
SpaceX,USA,Falcon 9 Block 5 | Euclid Telescope,Success,01/07/2023
Virgin Galactic,USA,SpaceShipTwo | Galactic 01,Success,29/06/2023
Roscosmos,Russia,Soyuz 2.1b/Fregat-M | Meteor-M n°2-3 and others,Success,27/06/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-12,Success,23/06/2023
ULA,USA,Delta IV Heavy | NROL-68 (USA-345),Success,22/06/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-7,Success,22/06/2023
CASC,China,Long March 6 | Shiyan 25,Success,20/06/2023
SpaceX,USA,Falcon 9 Block 5 | Satria,Success,18/06/2023
Rocket Lab,USA,Electron | Scout's Arrow,Success,18/06/2023
CASC,China,Long March 2D | 41 x Jilin-1,Success,15/06/2023
SpaceX,USA,Falcon 9 Block 5 | Transporter 8,Success,12/06/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-11,Success,12/06/2023
ExPace,China,Kuaizhou 1A | Longjiang 3,Success,09/06/2023
CAS Space,China,Kinetica 1 | Second Flight,Success,07/06/2023
SpaceX,USA,Falcon 9 Block 5 | CRS SpX-28,Success,05/06/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-4,Success,04/06/2023
SpaceX,North Korea,Falcon 9 Block 5 | Starlink Group 2-10,Success,31/05/2023
NADA,North Korea,Chŏllima 1 | Manligyeong 1 #1,Failure,30/05/2023
CASC,China,Long March 2F/G | Shenzhou 16,Success,30/05/2023
ISRO,India,GSLV Mk II | NVS-01 (IRNSS-1J),Success,29/05/2023
SpaceX,USA,Falcon 9 Block 5 | Arabsat 7B (Badr 8),Success,27/05/2023
Roscosmos,Russia,Soyuz 2.1a/Fregat-M | Kondor-FKA n°1,Success,26/05/2023
Rocket Lab,New Zealand,Electron/Curie | TROPICS Flight 3: Coming to a Storm Near You,Success,26/05/2023
Virgin Galactic,USA,SpaceShipTwo | Unity 25,Success,25/05/2023
KARI,South Korea,KSLV-2 | NEXTSat-2 & Others,Success,25/05/2023
Roscosmos,Kazakhstan,Soyuz 2.1a | Progress MS-23,Success,24/05/2023
SpaceX,USA,Falcon 9 Block 5 | Axiom Mission 2 (Ax-2),Success,21/05/2023
CASC,China,Long March 2C | MUST-1A/B & Luojia-2 01,Success,21/05/2023
SpaceX,USA,Falcon 9 Block 5 | Iridium-9 & OneWeb #19,Success,20/05/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-3,Success,19/05/2023
CASC,China,Long March 3B/E | Beidou-3 G4,Success,17/05/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-9,Success,14/05/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 2-9,Success,10/05/2023
CASC,China,Long March 7 | Tianzhou 6,Success,10/05/2023
Rocket Lab,New Zealand,Electron/Curie | TROPICS Flight 2: Rocket Like A Hurricane,Success,08/05/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-6,Success,04/05/2023
SpaceX,USA,Falcon Heavy | ViaSat-3 Americas & Others,Success,01/05/2023
SpaceX,USA,Falcon 9 Block 5 | O3b mPOWER 3 & 4,Success,28/04/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 3-5,Success,27/04/2023
Virgin Galactic,USA,SpaceShipTwo | Unity 24,Success,26/04/2023
ISRO,India,PSLV-CA | TeLEOS-2 & Others,Success,22/04/2023
SpaceX,USA,Starship-Super Heavy (Prototype) | Starship Flight Test,Failure,20/04/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-2,Success,19/04/2023
CASC,China,Long March 4B | Fengyun-3G,Success,16/04/2023
SpaceX,USA,Falcon 9 Block 5 | Transporter 7,Success,15/04/2023
Arianespace,France,Ariane 5 ECA | JUICE (Jupiter Icy Moons Explorer),Success,14/04/2023
SpaceX,USA,Falcon 9 Block 5 | Intelsat 40e/TEMPO,Success,07/04/2023
i-Space,China,Hyperbola-1 | Dummy Payload,Success,07/04/2023
SpaceX,USA,"Falcon 9 Block 5 | Transport & Tracking Layer (Tranche 0, Flight 1)",Success,02/04/2023
Space Pioneer,China,Tianlong-2 | Demo Flight,Success,02/04/2023
CASC,China,Long March 4C | Yaogan 34-04,Success,31/03/2023
CASC,China,Long March 2D | PIESAT-1 x 4,Success,30/03/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-10,Success,29/03/2023
VKS RF,Russia,Soyuz 2.1v | Cosmos 2568,Success,29/03/2023
IAI,Israel,Shavit-2 | Ofek-13,Success,28/03/2023
ISRO,India,LVM-3 | OneWeb #18,Success,26/03/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-5,Success,24/03/2023
Rocket Lab,New Zealand,Electron/Curie | The Beat Goes On,Success,24/03/2023
VKS RF,Russia,Soyuz 2.1a | Cosmos 2567,Success,23/03/2023
Relativity Space,USA,"Terran 1 | Good Luck, Have Fun",Failure,23/03/2023
ExPace,China,Kuaizhou 1A | Tianmu-1 03-06,Success,22/03/2023
SpaceX,USA,Falcon 9 Block 5 | SES-18 & SES-19,Success,17/03/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 2-8,Success,17/03/2023
CASC,China,Long March 3B/E | Gaofen-13-02,Success,17/03/2023
Rocket Lab,USA,Electron/Curie | Stronger Together,Success,16/03/2023
CASC,China,Long March 11 | Shiyan 19,Success,15/03/2023
SpaceX,USA,Falcon 9 Block 5 | CRS SpX-27,Success,15/03/2023
CASC,China,Long March 2C | Horus 2,Success,13/03/2023
VKS RF,Kazakhstan,Proton-M/Briz-M | Luch-5X (Olymp-K 2),Success,12/03/2023
CASC,China,Long March 4C | Tianhui-6 A/B,Success,09/03/2023
SpaceX,USA,Falcon 9 Block 5 | OneWeb #17,Success,09/03/2023
MHI,Japan,H3-22 | ALOS-3,Failure,07/03/2023
IRGC,Iran,Qaem 100 | Nahid-1,Failure,04/03/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 2-7,Success,03/03/2023
SpaceX,USA,Falcon 9 Block 5 | SpaceX Crew-6,Success,02/03/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-1,Success,27/02/2023
CASC,China,Long March 2C | Horus 1,Success,24/02/2023
Roscosmos,Kazakhstan,Soyuz 2.1a | Soyuz MS-23,Success,24/02/2023
CASC,China,Long March 3B/E | ChinaSat 26,Success,23/02/2023
SpaceX,USA,Falcon 9 Block 5 | Inmarsat I-6 F2,Success,18/02/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 2-5,Success,17/02/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-4,Success,12/02/2023
ISRO,India,SSLV | EOS-07 & Others,Success,10/02/2023
Roscosmos,Kazakhstan,Soyuz 2.1a | Progress MS-22,Success,09/02/2023
SpaceX,USA,Falcon 9 Block 5 | Amazonas Nexus,Success,07/02/2023
Roscosmos,Kazakhstan,Proton-M/DM-3 | Elektro-L n°4,Success,05/02/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-3,Success,02/02/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 2-6 & ION SCV009,Success,31/01/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-2,Success,26/01/2023
MHI,Japan,H-IIA 202 | IGS-Radar 7,Success,26/01/2023
Rocket Lab,USA,Electron/Curie | Virginia is for Launch Lovers,Success,24/01/2023
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 2-4,Success,19/01/2023
SpaceX,USA,Falcon 9 Block 5 | GPS III-6,Success,18/01/2023
SpaceX,USA,Falcon Heavy | USSF-67,Success,15/01/2023
CASC,China,"Long March 2D | 6 x Jilin-1, Qilu-2/3 and others",Success,15/01/2023
CASC,China,Long March 2D | Yaogan 37 & Shiyan 22A/B,Success,13/01/2023
CASC,China,Long March 2C | APStar 6E,Success,12/01/2023
ABL SS,USA,RS1 | DEMO-1 (Test Launch),Failure,10/01/2023
SpaceX,USA,Falcon 9 Block 5 | OneWeb #16,Success,10/01/2023
Virgin Orbit,UK,LauncherOne | Start Me Up,Failure,09/01/2023
Galactic Energy,China,Ceres-1 | Give Me Five,Success,09/01/2023
CASC,China,Long March 7A | Shijian 23,Success,08/01/2023
SpaceX,USA,Falcon 9 Block 5 | Transporter 6,Success,03/01/2023
SpaceX,USA,Falcon 9 Block 5 | EROS-C3,Success,30/12/2022
CASC,China,Long March 3B/E | Shiyan 10-02,Success,29/12/2022
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 5-1,Success,28/12/2022
CASC,China,Long March 4B | Gaofen-11 04,Success,27/12/2022
Arianespace,France,Vega-C | Pléïades-Néo 5 & 6,Failure,21/12/2022
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 4-37,Success,17/12/2022
SpaceX,USA,Falcon 9 Block 5 | O3b mPOWER 1 & 2,Success,16/12/2022
SpaceX,USA,Falcon 9 Block 5 | SWOT,Success,16/12/2022
CASC,China,Long March 11 | Shiyan 21,Success,16/12/2022
CASC,China,Long March 2D | Yaogan 36 Group 04,Success,14/12/2022
Landspace,China,ZhuQue-2 | Demo Flight,Failure,14/12/2022
Arianespace,France,"Ariane 5 ECA | Galaxy 35 & 36, MTG-I1",Success,13/12/2022
CASC,China,Long March 4C | Shiyan 20A & 20B,Success,12/12/2022
SpaceX,USA,Falcon 9 Block 5 | HAKUTO-R Mission 1,Success,11/12/2022
CASC,China,Jielong-3 | Demo Flight,Success,09/12/2022
SpaceX,USA,Falcon 9 Block 5 | OneWeb #15,Success,08/12/2022
CASC,China,Long March 2D | Gaofen-5 01A,Success,08/12/2022
ExPace,China,Kuaizhou 11 | Xingyun VDES,Success,07/12/2022
VKS RF,Russia,Soyuz 2.1b | Cosmos 2565,Success,30/11/2022
CASC,China,Long March 2F/G | Shenzhou 15,Success,29/11/2022
VKS RF,Russia,Soyuz 2.1b/Fregat-M | Cosmos 2564,Success,28/11/2022
CASC,China,Long March 2D | Yaogan 36 Group 03,Success,27/11/2022
